"Node","rank","academic.birth","all.publications","var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up"
89364,1737,2011,52,456.3,0,5.2,7.6,0,578,0,0.246303839776924,0.95445098574052,0,312.5,79,50,144.5,25
178465,1738,2010,57,116,18,5.18181818181818,5.36363636363636,128,312.5,40.5,0.333453248071472,0,112.5,112.5,12.7,12.5,19,300
303979,1739,2010,84,137,392,7.63636363636364,7.27272727272727,18,40.5,0,0.27550214095161,0,0,338,24.6666666666667,144.5,60.5,392
259666,1740,2010,51,182.5,450,4.63636363636364,3.27272727272727,512,2,0,0.388919949630508,1.8621340233893,0,220.5,32,0,112.5,684.5
1875030,1741,2010,69,89.5,242,6.9,5.1,4.5,144.5,0,0.475402580877684,0.891851589494557,0,0,86.3333333333333,0,312.5,392
231982,1742,2015,132,1769.33333333333,0,22,35.6666666666667,0,0,0,0.362459348359386,2.26630414168834,0,0,57.3333333333333,0,162,578
121520,1743,2010,66,26.3,98,6.6,7.4,162,8,72,0.399334666721492,0,24.5,364.5,9.33333333333333,84.5,2,76
311641,1744,2010,62,68.8,72,5.63636363636364,11.6363636363636,72,40.5,1300.5,0.272091844673806,0,0,128,12,112.5,57,312.5
85462,1745,2010,111,171.8,180.5,10.0909090909091,10.4545454545455,112.5,480.5,0,0.270069110594421,0,0,8,16.3,24.5,14.3333333333333,1352
109953,1746,2012,88,244.25,1200.5,9.77777777777778,10.7777777777778,0,0,0,0.368406543060487,0,450,0,19,0.5,105.333333333333,338
181143,1747,2010,58,122.3,24.5,5.27272727272727,8,968,200,200,0.269921587911736,0,144.5,4.5,4.2,12.5,20.3333333333333,157
234820,1748,2010,138,471.7,1922,12.5454545454545,14.5454545454545,312.5,24.5,0,0.363504749593047,0.434602911500013,0,0,120.333333333333,0,0,0
62264,1749,2011,79,61.5,60.5,7.9,9.8,612.5,612.5,0,0.168775723504815,0,180.5,84.5,9.2,32,32.3333333333333,44.3333333333333
39938,1750,2010,93,108.5,450,8.45454545454546,9.45454545454546,18,84.5,0,0.194564038953892,0,0,264.5,6.33333333333333,512,128,200
183305,1751,2010,66,68.2,0.5,6,4.90909090909091,72,24.5,0,0.72034706323849,1.22684523462383,544.5,0,2,338,84.5,264.5
28687,1752,2010,61,137.3,60.5,5.54545454545455,7.81818181818182,50,8,0,0.562895481641921,0,0,242,31,128,80.3333333333333,450
554843,1753,2010,68,74.3,8,6.18181818181818,4.45454545454545,12.5,288,0,0.566892684261795,0.0229578932353944,0,18,41.3333333333333,180.5,42.3333333333333,128
573583,1754,2010,61,156.2,0,5.54545454545455,4.72727272727273,480.5,578,128,0.256846850216382,0,0,288,8.33333333333333,242,57.3333333333333,432
108926,1755,2013,71,123.666666666667,50,8.875,8.125,0,0,0,0.411068848136106,0.788283956424195,450,0,64.3333333333333,242,60.5,0
399346,1756,2011,59,89,84.5,5.9,6.6,578,420.5,128,0.141824935056524,0,2,98,4,128,19,56.3333333333333
95483,1757,2010,58,2468.5,2738,5.8,17,9660.5,338,0,0.920535841959329,0,0,0,96.3333333333333,0,0,0
35904,1758,2010,78,112.3,288,7.09090909090909,5.45454545454545,480.5,4.5,0,0.403102301509574,1.00468460848298,0,450,40.3333333333333,0,0,760.5
87340,1759,2013,74,193.583333333333,1012.5,9.25,10,0,0,0,0.350066118807612,0,338,0,30.9166666666667,98,60.5,128
92911,1760,2010,56,380.7,98,5.09090909090909,11.8181818181818,1152,0,40.5,0.139938847298962,0,98,288,1.58333333333333,8,18,264.5
112721,1761,2010,65,115,4.5,5.90909090909091,6.81818181818182,338,72,8,0.337090125639586,0,98,60.5,26.3333333333333,162,2,4.33333333333333
2071,1762,2010,51,141,200,4.63636363636364,9.18181818181818,264.5,40.5,32,0.131354402093677,0,8,50,20.25,128,18,112.5
102904,1763,2010,70,83.5,98,6.36363636363636,7.90909090909091,2,50,882,0.338265348598747,0,0,128,11.5833333333333,162,49.3333333333333,180.5
85773,1764,2010,140,1254.2,3612.5,12.7272727272727,11.9090909090909,5000,760.5,0,0.279596181667438,0,0,0,722,0,0,0
93290,1765,2011,78,59.8,0.5,7.8,4.4,32,1058,144.5,0.418143042403177,0,0,450,18.9166666666667,180.5,32.3333333333333,8
450342,1766,2010,71,11.5,4.5,6.45454545454545,4.36363636363636,18,578,128,0.406629913145543,0,112.5,200,19.3,18,86.3333333333333,4.5
30778,1767,2010,80,61.8,4.5,7.27272727272727,5.90909090909091,162,684.5,24.5,0.207878487250574,0,0,264.5,34.9166666666667,112.5,137.333333333333,4.5
58876,1768,2010,91,230,288,8.27272727272727,8.63636363636364,60.5,98,0,0.390838352446462,0,0,220.5,21.5833333333333,264.5,33.3333333333333,0
142809,1769,2013,70,312.916666666667,1200.5,8.75,10,0,0,0,0.217293576390528,0,450,0,20.9166666666667,392,144.5,60.5
62956,1770,2010,120,33.7,144.5,10.9090909090909,11.4545454545455,50,98,0,0.28864701244273,0,0,480.5,33.8,392,112,0
39565,1771,2010,101,40.7,12.5,9.18181818181818,7.90909090909091,2,578,800,0.261305580288698,0,0,24.5,28.3333333333333,18,124.333333333333,72
129550,1772,2010,58,147.7,0,5.27272727272727,6.27272727272727,578,722,312.5,0.200798503625822,0,0,512,11.3333333333333,128,57.3333333333333,192
61930,1773,2010,70,252.7,800,6.36363636363636,4.90909090909091,800,112.5,0,0.300812342368586,2.76922536257943,0,0,242,0,0,1058
1058942,1774,2011,66,33.2,84.5,6.6,4.3,288,242,98,0.377983106736836,0,18,0,26.9166666666667,144.5,67,3
376907,1775,2010,59,309.5,2312,5.36363636363636,11.3636363636364,1352,0,0,0.519107739461448,0,0,392,37,0,180.5,0
260433,1776,2010,92,69.7,8,8.36363636363636,8.63636363636364,364.5,180.5,50,0.176639410078045,0,450,60.5,5.3,0.5,20.3333333333333,128
6657,1777,2010,78,396.7,1012.5,7.09090909090909,1.72727272727273,1012.5,4.5,0,0.472073067848908,0,0,0,79,450,0,1012.5
321311,1778,2010,76,126.8,200,6.90909090909091,4.63636363636364,18,242,0,0.425984434907737,0.000458198824833111,0,2,12.9166666666667,24.5,58.3333333333333,338
54802,1779,2010,90,199.3,2,8.18181818181818,8.18181818181818,18,0.5,0,0.6032820078446,0.571284636361761,0,800,42.9166666666667,84.5,12.5,0
299308,1780,2010,84,67.2,0,7.63636363636364,5.63636363636364,0,882,0,0.39353138368305,2.44695699593443,0,612.5,74.9166666666667,0.5,98,2
326530,1781,2012,96,387.666666666667,882,10.6666666666667,10.3333333333333,0,0,0,0.361624850324812,0,0,0,7,968,254.333333333333,2244.5
64613,1782,2010,59,166.3,220.5,5.36363636363636,5.27272727272727,112.5,112.5,0,0.539131048744028,1.41421356237309,0,2,19,12.5,4.5,840.5
1984,1783,2010,77,138.8,180.5,7,10.1818181818182,8,50,0,0.143581556813226,0,0,162,28,242,98,684.5
88905,1784,2010,80,304.7,312.5,7.27272727272727,5.81818181818182,112.5,512,0,0.32693987163944,0,0,98,12,60.5,13,760.5
