"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
60,23,177,67,93,262,4225,2769,4225,4225,1746,1452,962,798,18,"67"
360,554,2056,744,455,2749,4225,2317,4225,4225,681,2039,1058,2340,4225,"68"
2257,1812,4017,1767,1514,1642,1504,233,4225,1548,2564,4021,2666,3550,2487,"69"
2669,3663,2949,2037,1908,1572,1221,538,395,577,2469,3754,2419,2287,2847,"70"
1051,848,1360,2000,651,2256,4225,140,1122,4225,4225,593,166,978,224,"71"
2430,2157,1554,3331,3231,3017,498,132,1260,4225,350,346,4225,1280,1230,"72"
2669,1812,1608,1317,1245,2391,964,3868,4225,577,790,2039,1922,1667,966,"73"
108,67,1076,397,118,686,4225,2183,4225,4225,4225,86,4225,4225,4225,"74"
2554,3816,1076,1162,3310,3017,167,3301,4225,4225,4225,411,152,436,1436,"75"
26,14,2056,1066,23,1120,4225,2791,4225,4225,4225,176,4225,4225,15,"76"
69,60,170,99,257,1926,4225,2048,397,4225,76,304,78,51,21,"77"
1658,2490,487,249,4225,4225,4225,2689,4225,107,4225,552,2820,198,555,"78"
38,676,16,7,4225,4225,4225,2389,58,2,4225,46,25,68,162,"79"
3596,2157,2545,2000,3231,3169,458,3677,4225,1340,4225,2609,4225,2689,4225,"80"
693,206,4017,1258,317,2501,4225,468,4225,4225,4225,1390,4225,779,4225,"81"
2465,1675,3927,2884,1764,3454,4225,3733,4225,4225,790,3717,4225,2563,4225,"82"
2991,2490,3298,2884,1633,3169,4225,2496,4225,4225,733,2159,800,2689,4225,"83"
918,1221,1509,439,1568,3323,319,2075,4225,4225,350,2684,1275,2010,4225,"84"
