"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
2175,3430,2018,2458,1301,279,1559,3293,4225,749,306,2530,1275,2563,2454,"703"
1735,1812,451,2196,2724,294,4225,2457,4225,4225,1746,1460,2820,2010,1059,"704"
2650,2931,1097,2411,1245,279,1325,3283,4225,1099,537,2488,962,2097,3145,"705"
100,70,257,1083,147,3454,4225,2578,4225,4225,4225,159,4225,4225,4225,"706"
3575,2075,3037,3017,1699,2873,4225,3294,4225,4225,1067,3003,4225,2431,4225,"707"
680,554,1753,2671,774,1338,4225,417,615,4225,2240,2164,962,2083,342,"708"
336,999,374,996,559,1267,4225,1395,139,4225,4225,209,93,107,4225,"709"
1371,514,1227,634,978,3454,4225,2243,4225,4225,243,3211,308,4225,4225,"710"
2063,2395,3129,3196,1633,3169,4225,2197,4225,4225,790,2861,1171,2503,4225,"711"
166,176,1324,2550,4225,4225,4225,4210,4225,4225,4225,110,4225,4225,4225,"712"
2223,1979,3927,2330,2804,2256,4225,2774,4225,4225,1828,3458,2173,2062,668,"713"
493,301,1888,2583,559,3017,4225,1351,4225,4225,576,719,434,2431,186,"714"
1191,1037,1360,4037,1198,1572,4225,819,4225,4225,4225,286,4225,4225,4225,"715"
642,956,944,1106,1764,2749,4225,1131,375,4225,4225,552,166,1433,126,"716"
2875,2266,2794,1083,2123,3169,4225,2170,4225,4225,4225,2230,1275,2211,442,"717"
427,231,2949,1879,623,2256,4225,1555,4225,4225,1356,1901,4225,1860,4225,"718"
1075,4225,226,285,1982,1191,4225,3010,4225,21,163,493,53,531,232,"719"
47,206,10,8,31,10,54,1428,207,21,468,354,962,619,83,"720"
1039,1165,3298,1051,1982,3169,4225,1375,4225,4225,790,980,653,2431,483,"721"
1647,919,3927,1541,333,1737,224,1867,4225,515,2564,2972,2301,3403,1505,"722"
198,290,3724,704,495,3017,4225,174,4225,4225,4225,1519,800,978,4225,"723"
663,676,2056,1879,559,2620,4225,3580,4225,4225,4225,485,4225,4225,200,"724"
527,3055,3514,2849,1409,2256,4225,3023,4225,4225,4225,4099,2046,1598,4225,"725"
464,1271,4017,1589,2374,3323,4225,894,4225,4225,999,2944,1806,2211,4225,"726"
345,387,944,563,391,3323,4225,1321,1050,4225,163,437,122,473,76,"727"
355,1037,2855,863,2123,3323,4225,679,968,4225,4225,1493,1171,1104,4225,"728"
109,284,1655,619,118,2501,4225,862,4225,4225,4225,598,4225,531,4225,"729"
2655,3663,887,1879,3149,262,4225,368,429,215,631,1631,392,1626,966,"730"
4193,3663,3514,2976,3398,3169,480,2734,4225,4225,999,4099,4225,4225,1436,"731"
1680,1077,2018,788,1120,3169,1043,2200,4225,1677,410,4056,1372,1974,3145,"732"
1536,999,1290,1237,1836,1191,4225,2551,4225,4225,4225,736,4225,873,2847,"733"
1150,1337,2056,1150,2374,3169,4225,4177,4225,4225,790,2375,4225,1280,695,"734"
398,2834,2250,940,1836,3454,4225,4008,4225,4225,4225,1400,1471,873,4225,"735"
308,206,2056,1317,121,3169,4225,576,4225,4225,4225,4123,330,891,4225,"736"
4075,3663,408,4201,3310,1926,1559,29,1068,1548,4225,54,4225,4225,2847,"737"
1573,1037,2701,3850,1409,1642,4225,2352,4225,4225,4225,736,4225,675,508,"738"
1724,999,2250,4111,1245,2873,4225,529,644,4225,790,949,477,1104,733,"739"
481,514,170,25,603,2620,12,370,954,39,49,204,67,143,105,"740"
3230,2395,1823,3296,1764,2749,4225,323,4225,4225,631,1273,526,1974,1163,"741"
2912,1588,3613,4188,2201,3323,4225,41,689,4225,856,3848,1058,1777,1727,"742"
2065,1454,1462,3296,1568,3323,4225,3155,4225,4225,375,826,526,606,4225,"743"
1608,1037,3037,3410,1162,2749,4225,1157,4225,4225,4225,2058,4225,779,577,"744"
87,74,494,3237,110,4225,4225,667,328,4225,76,260,4225,112,41,"745"
419,622,658,940,419,3017,4225,1156,1089,4225,135,534,187,376,97,"746"
1326,1392,1158,829,2374,2620,4225,3325,4225,4225,500,2170,4225,1020,413,"747"
4114,3430,3724,3369,2471,4225,1288,701,4225,937,681,2340,4225,3481,2251,"748"
2317,1884,3819,4062,1908,2501,4225,1120,4225,4225,4225,4225,4225,4225,1436,"749"
2379,1337,2959,4132,1456,2256,4225,1370,4225,4225,1511,1814,1471,2431,4225,"750"
2422,1812,2949,3607,2638,3323,4225,1777,4225,4225,4225,2713,1058,1287,1436,"751"
23,22,1227,2800,28,521,4225,2104,43,4225,4225,43,4225,4225,4225,"752"
779,1271,2794,1193,1836,1191,343,1627,4225,749,2564,441,308,172,444,"753"
1511,1037,2949,3509,2471,2749,4225,700,4225,4225,4225,1437,4225,4225,834,"754"
2395,1884,2483,2229,2804,4225,480,756,4225,4225,375,2251,1058,3481,1436,"755"
167,104,3819,2549,163,3017,4225,3645,4225,4225,4225,4159,584,1598,4225,"756"
1339,4225,1778,4038,4225,4225,4225,165,4225,4225,4225,4225,4225,4225,4225,"757"
771,1675,3514,1028,309,3169,404,253,275,1447,856,1814,1058,1777,668,"758"
122,92,1655,3725,152,494,4225,421,465,4225,4225,55,4225,4225,4225,"759"
168,118,658,2111,205,774,4225,739,870,4225,4225,176,4225,4225,76,"760"
558,399,2138,3813,514,1572,4225,4097,4225,4225,4225,2578,4225,2211,4225,"761"
998,919,1888,2111,1120,868,4225,4055,4225,4225,2381,2897,4225,2001,483,"762"
1879,2594,3216,1834,2638,3017,4225,455,4225,4225,924,1745,1171,1473,926,"763"
1316,1221,1158,1401,2051,3169,4225,2356,4225,4225,220,1630,584,796,764,"764"
2023,3055,1753,1620,2284,686,421,2747,4225,301,1828,3868,2536,3238,1727,"765"
1327,919,2794,3813,915,2501,4225,2029,4225,4225,4225,883,4225,873,4225,"766"
2700,2834,1554,996,2896,2391,246,2709,787,4225,631,2713,254,1473,2754,"767"
2837,2395,2618,1913,3231,3169,4225,3431,4225,4225,733,3340,4225,1433,2572,"768"
789,622,4017,4037,455,2749,4225,1895,4225,4225,4225,883,4225,779,4225,"769"
827,1165,846,1913,946,923,4225,1952,4225,4225,1985,4085,2666,2503,215,"770"
3726,2834,3400,3331,3398,1926,625,1285,4225,1044,1908,3848,2952,1777,1727,"771"
2822,1077,4225,1562,885,2391,1367,1058,4225,1447,2069,3955,2666,3270,2050,"772"
314,2157,1076,439,745,2749,4225,365,999,4225,282,1684,187,1170,4225,"773"
658,2075,1290,594,915,3017,4225,343,983,4225,264,3211,187,1148,4225,"774"
787,587,3400,1216,2123,3454,4225,3931,4225,4225,4225,1157,4225,978,1014,"775"
1600,848,3400,1620,946,2620,4225,1094,4225,4225,4225,1641,584,1598,4225,"776"
1832,2705,1097,594,3149,1842,115,1939,120,4225,790,1555,4225,1280,413,"777"
90,45,3927,643,78,2391,4225,2091,4225,4225,4225,2944,4225,2211,4225,"778"
1606,1165,1192,2111,2979,2141,4225,1064,610,4225,856,2194,4225,1974,577,"779"
2511,1077,3216,3017,1013,2256,4225,214,4225,4225,4225,1351,4225,675,4225,"780"
2984,1588,2855,3770,1356,2749,4225,297,652,4225,4225,3802,4225,1598,4225,"781"
2217,1392,1436,940,2201,988,458,715,287,1270,2469,2779,2419,1984,1505,"782"
3474,3055,2018,1620,2804,2033,404,3874,4225,4225,1291,3117,1806,2910,834,"783"
1707,3317,2618,1834,2804,3454,4225,3898,4225,198,576,1891,874,1974,792,"784"
498,919,4109,3369,1120,2620,4225,1048,4225,4225,1665,3637,1471,2062,356,"785"
3291,2705,2646,1032,2979,2620,4225,63,760,4225,4225,2684,653,1104,383,"786"
2591,1337,2618,3702,1699,2033,4225,846,40,4225,4225,203,4225,4225,884,"787"
942,326,158,152,199,728,1504,275,734,1611,282,1085,1702,881,1125,"788"
1090,1037,217,226,885,130,552,298,616,995,468,2394,1471,1330,1640,"789"
802,2266,3927,778,2560,2033,258,4171,4225,4225,2069,2251,1171,3481,2348,"790"
2173,1812,1205,1426,4225,4225,4225,2182,4225,995,4225,3264,1594,2985,2089,"791"
3079,3816,2138,1793,2284,1842,726,286,703,4225,1746,2893,874,1667,1733,"792"
649,514,2949,3169,1070,2391,4225,1050,4225,4225,1356,1608,1058,3663,395,"793"
114,58,1227,829,83,2033,4225,1329,924,4225,4225,189,4225,143,28,"794"
2045,1221,1097,1506,2201,2501,4225,1167,401,4225,410,2830,1171,903,668,"795"
1427,4225,1298,1294,1070,868,1650,2630,4225,383,2564,1753,1594,2503,3052,"796"
896,1392,4109,1680,1245,3017,4225,3051,1195,4225,4225,3549,1806,2431,4225,"797"
667,883,2250,778,1013,2501,4225,151,4225,4225,4225,515,4225,4225,4225,"798"
3254,2834,4109,4037,1456,3169,4225,514,4225,4225,999,2578,721,2910,4225,"799"
56,74,846,445,163,3323,4225,1691,837,4225,4225,1043,231,236,4225,"800"
884,587,944,2367,670,2873,4225,1205,725,4225,306,2944,4225,678,342,"801"
2259,1271,3613,3995,1699,2620,4225,3949,4225,4225,4225,1118,4225,873,4225,"802"
2521,1884,3514,2934,2896,1737,4225,4036,4225,4225,2310,1298,2666,2431,1163,"803"
4147,3317,664,675,4225,4225,4225,2080,4225,113,4225,639,2666,1598,577,"804"
1379,2490,899,390,885,774,964,4064,4225,383,2564,1848,1171,4225,1163,"805"
65,140,3514,457,96,3017,4225,589,1093,4225,4225,3035,4225,675,34,"806"
666,399,2855,2800,367,2391,4225,2533,505,4225,4225,1608,4225,1104,4225,"807"
624,326,3216,3410,623,3454,4225,1524,4225,4225,4225,2578,4225,1280,4225,"808"
1158,622,3129,3879,1120,2391,4225,1787,4225,4225,1579,3981,874,1777,577,"809"
483,676,1227,808,603,1481,1559,1683,4225,1396,1579,2039,1922,3791,2348,"810"
1966,848,2794,1285,2123,1338,4225,3404,4225,4225,2564,3117,1372,3481,1365,"811"
984,777,2161,1172,4225,4225,4225,3624,4225,874,4225,3549,2301,1473,2145,"812"
3164,3195,1554,1258,2979,2141,661,3121,4225,4225,1356,3132,4225,2689,2957,"813"
2860,3546,1823,2701,1982,494,1367,3758,4225,4225,856,1587,1275,887,3052,"814"
2602,2266,3927,1028,3231,2873,197,2754,4225,4225,1356,2375,4225,1280,884,"815"
513,3195,975,520,367,448,1005,2693,4225,339,1665,1060,2536,3270,1981,"816"
803,399,2949,1130,439,4225,4225,2115,4225,4225,576,2684,4225,2261,4225,"817"
3212,1884,2794,863,1356,3323,801,3829,4225,432,733,3035,1058,1777,2454,"818"
1848,1517,3927,3850,1568,3169,4225,2564,4225,4225,4225,1745,1171,2910,4225,"819"
963,1884,965,1680,380,115,190,1973,190,995,80,221,434,108,1182,"820"
4072,3055,3037,2934,2804,3017,1135,4103,4225,1153,924,1991,874,2689,2608,"821"
2314,3055,1391,1426,2284,1642,661,2000,4225,663,1426,3802,1806,3481,1286,"822"
268,425,233,356,4225,4225,4225,3425,4225,708,4225,351,1275,67,172,"823"
852,883,3400,2701,1356,1481,4225,3362,4225,4225,2564,3637,2666,3791,577,"824"
619,1675,237,363,380,73,1182,2447,81,937,183,256,2419,622,1510,"825"
3272,1517,306,718,3057,362,4225,2148,18,4225,2381,626,2820,1618,4225,"826"
2379,3430,3927,1655,1568,3323,4225,451,4225,4225,4225,3955,4225,3791,4225,"827"
1752,1979,3724,2849,1301,2873,4225,2638,4225,4225,4225,1519,4225,1280,4225,"828"
775,1165,1227,1727,2051,2141,4225,3100,4225,4225,733,2972,2173,1801,215,"829"
3835,3546,1509,2849,2804,686,889,916,4225,4225,1985,2738,2301,1304,2234,"830"
3079,2705,3724,2849,2471,2141,1135,2114,4225,4225,1985,2591,1372,3791,2454,"831"
2138,999,3514,3169,1409,1737,4225,1835,4225,4225,4225,2684,4225,1280,668,"832"
1529,3816,2855,2934,2724,988,746,376,523,355,1828,3161,2952,3501,3224,"833"
1926,745,3927,2070,1699,868,4225,452,1143,4225,1356,2093,1372,3364,1239,"834"
3113,1740,4109,3509,2051,1572,1559,371,4225,1099,2469,3725,2173,2935,2864,"835"
2819,1812,4017,3964,2051,2501,4225,3068,4225,4225,1579,3773,1702,1598,1505,"836"
2461,1979,3927,3076,2896,1842,772,3471,4225,4225,2469,1317,1594,3145,3052,"837"
532,709,63,996,1245,225,4225,467,266,4225,440,630,93,178,186,"838"
467,373,4225,3579,530,3454,4225,2449,4225,4225,4225,2684,962,2211,4225,"839"
437,1454,658,467,689,1572,4225,3202,4225,4225,537,2736,1806,1116,64,"840"
604,745,1509,3017,1568,1926,4225,562,1091,4225,4225,534,4225,4225,483,"841"
3005,3195,686,756,2979,1338,4225,201,1215,4225,1139,2251,1471,2001,1230,"842"
3013,2157,2377,718,2201,2141,4225,223,847,4225,1511,1328,653,3791,4225,"843"
3759,3055,2402,3820,3149,1338,927,3031,4225,4225,2469,2287,2536,2985,1961,"844"
68,39,2701,940,110,2620,4225,4217,4225,4225,4225,2121,874,4225,19,"845"
2711,2490,4109,3460,2374,2256,4225,2067,4225,4225,1908,3093,2301,3238,834,"846"
3776,3663,1249,875,2560,2873,343,3303,4225,143,410,2164,2173,1667,4225,"847"
1576,1124,3129,1285,2201,3169,4225,1153,4225,4225,4225,616,4225,1280,668,"848"
2660,1392,1049,1340,1013,1191,1413,3254,4225,1270,1579,1592,2419,978,2348,"849"
19,16,3400,132,17,3169,4225,96,1245,4225,4225,1059,4225,1433,4,"850"
1601,1124,249,340,745,167,801,3847,4225,822,1219,1754,2536,3019,1070,"851"
1784,2395,1097,1008,2560,1926,308,3017,4225,4225,924,1460,800,3145,733,"852"
972,919,2794,402,280,2391,772,2359,4225,1447,1426,2452,1594,2287,2454,"853"
3845,4225,4017,4037,2284,1842,4225,4137,4225,791,4225,2944,4225,1777,2348,"854"
2235,2705,3613,3930,1908,1572,4225,622,4225,4225,2564,3848,2666,2295,4225,"855"
159,118,2701,1680,317,3017,4225,313,4225,4225,4225,1043,4225,4225,76,"856"
3380,3055,3613,3770,2804,1737,4225,1240,4225,4225,2469,3637,2666,3389,1727,"857"
101,148,50,41,41,32,174,2153,98,215,201,235,2952,430,1814,"858"
1307,3816,1616,1057,1245,820,801,3149,4225,4225,2310,3264,2536,1835,1579,"859"
4030,3195,2319,3813,2724,1842,1504,2964,4225,1548,2153,3416,1171,3791,3145,"860"
3496,3195,451,1479,2201,3169,831,1164,515,4225,96,401,100,143,1873,"861"
2395,3317,1608,2671,2284,1120,860,1830,4225,4225,2564,2262,1471,2985,1799,"862"
273,284,642,1655,241,1842,4225,3028,4225,4225,4225,860,93,978,4225,"863"
1147,2075,2855,3369,1514,1926,4225,3967,4225,4225,1828,2314,2666,2910,4225,"864"
2026,2834,3298,3410,2896,3454,4225,2972,4225,4225,4225,3694,1171,1777,2137,"865"
381,346,3037,3237,4225,1842,4225,200,1061,4225,1985,1390,4225,3145,180,"866"
91,155,1689,189,391,2620,4225,3064,4225,4225,537,1317,1171,2689,23,"867"
940,646,4017,1317,1356,1842,4225,3197,4225,4225,2381,3549,2666,2563,297,"868"
2129,2490,2018,397,3149,3169,70,3123,4225,100,4225,2684,4225,1598,1230,"869"
318,223,2377,2037,309,1926,4225,1675,4225,4225,4225,471,4225,4225,108,"870"
1680,1124,3724,1767,2471,2501,4225,1749,4225,4225,1511,3416,962,2312,733,"871"
2013,2395,3927,2229,1764,2033,4225,1017,4225,4225,2310,3003,2173,3145,4225,"872"
1873,4225,3400,2229,885,614,552,2676,4225,4225,631,3868,2046,1294,1295,"873"
1322,1337,2887,691,4225,4225,4225,3951,4225,4225,4225,1273,1058,3145,1365,"874"
3134,3816,2855,1051,3398,2033,4225,2248,4225,187,1828,3955,2046,3663,1799,"875"
2200,1517,926,2712,651,262,385,408,883,822,681,3161,1806,1460,1592,"876"
1998,1979,2018,1913,885,542,1182,3697,4225,1340,1426,2972,800,3238,1727,"877"
240,2490,1320,177,716,868,308,2701,4225,159,2381,2789,2173,3550,1119,"878"
1498,587,816,970,2374,728,4225,3574,4225,4225,2469,3549,1275,4225,550,"879"
96,4225,506,70,4225,4225,4225,2949,4225,4225,4225,3454,4225,155,3052,"880"
1694,883,269,163,4225,4225,4225,843,112,515,4225,559,1806,1029,484,"881"
1466,2834,4109,1767,1764,2620,4225,3113,4225,4225,1665,3656,2820,1280,977,"882"
2587,1454,575,487,2896,868,124,1561,4225,640,1356,1823,392,1626,3224,"883"
2244,3546,1360,940,581,1926,4225,2361,4225,4225,4225,911,4225,4225,884,"884"
4041,4225,217,2072,4225,4225,4225,3506,4225,4225,4225,3454,4225,4225,4225,"885"
3308,1588,2149,1625,1982,1842,4225,3963,4225,4225,4225,694,4225,172,4225,"886"
2895,2395,1888,1216,3057,1120,246,3658,4225,4225,2564,2784,1922,2261,966,"887"
2324,883,3400,594,885,2620,1043,1224,4225,1340,4225,2944,874,1777,966,"888"
1669,3195,1902,342,4225,4225,4225,1403,4225,113,4225,1814,874,4225,2957,"889"
272,2395,1655,475,249,868,385,4002,4225,1099,2310,3758,2952,2593,1579,"890"
477,483,179,1083,651,1191,4225,110,602,4225,111,543,277,779,4225,"891"
1104,622,506,3341,1070,2256,4225,78,728,4225,170,1493,434,1280,4225,"892"
3101,2834,3514,2800,1836,2391,4225,1295,4225,4225,4225,455,4225,4225,1365,"893"
496,745,1129,744,559,1572,4225,3664,479,4225,4225,616,187,259,4225,"894"
4075,3430,4109,2849,3057,3323,746,4172,4225,640,1139,3955,2173,2910,1901,"895"
271,2266,582,237,1514,3323,48,102,654,4225,4225,736,152,424,4225,"896"
2042,2834,2978,896,4225,4225,4225,2503,4225,159,4225,4123,2419,3663,1114,"897"
1167,919,3298,2976,1568,2141,4225,2807,4225,4225,1828,1494,1372,3145,4225,"898"
967,1454,1360,1258,603,248,693,3832,4225,1044,306,712,1594,1652,2608,"899"
408,4225,2483,970,391,467,480,4015,4225,4225,576,447,2820,2211,852,"900"
1260,2395,1391,1727,1908,868,4225,1786,4225,4225,2310,2944,1922,2083,466,"901"
146,4225,2250,3169,346,1338,4225,3039,4225,4225,2564,1684,721,4225,1892,"902"
645,3546,327,198,623,108,525,2552,39,4225,220,861,800,1170,2348,"903"
2339,1675,1843,1376,2123,2256,4225,3906,4225,1099,999,2251,1922,1689,1114,"904"
354,1675,99,96,199,40,964,784,295,58,91,87,152,118,3052,"905"
1928,1165,1762,1001,4225,4225,4225,777,815,1548,4225,3655,2666,2713,2269,"906"
1393,2490,2202,541,2896,614,4225,3952,4225,4225,1511,2294,4225,3207,413,"907"
2058,4225,2377,3296,2896,521,964,3596,4225,4225,733,593,2046,1633,2260,"908"
2365,2834,944,2498,2284,868,927,2262,4225,1044,1985,3081,2666,806,1873,"909"
1773,1517,3514,4193,1409,4225,4225,210,4225,4225,733,3003,1471,1777,1059,"910"
1133,4225,971,1176,4225,4225,4225,1223,309,4225,4225,3802,4225,473,1436,"911"
763,326,3419,1376,367,2391,4225,1174,4225,4225,4225,2375,4225,531,4225,"912"
1110,646,2959,2126,1764,1191,1091,4023,4225,577,2310,3035,1171,473,977,"913"
3884,3663,3514,2976,2123,4225,4225,4083,4225,432,576,1714,721,3481,1640,"914"
2379,1337,1233,2080,2724,1407,4225,59,1120,1447,1511,3568,2536,2689,1727,"915"
2156,1454,1957,2934,1198,3169,4225,1473,820,4225,500,1400,4225,4225,614,"916"
1142,587,748,498,4225,4225,4225,2952,4225,708,4225,1334,2820,2312,1070,"917"
815,270,1102,1013,4225,4225,4225,578,344,107,4225,1043,584,259,1961,"918"
1217,514,646,810,4225,4225,4225,628,384,606,4225,3487,1594,2910,3145,"919"
2353,2594,3819,3548,1120,3017,4225,2443,4225,4225,4225,3655,1058,1777,4225,"920"
1865,2075,1957,3548,1120,1642,4225,260,394,4225,1828,3416,1471,1598,4225,"921"
478,1124,2076,550,4225,4225,4225,2591,4225,4225,4225,883,1594,4225,550,"922"
3116,2490,1509,1028,3398,2620,4225,3909,4225,515,4225,570,4225,423,1873,"923"
193,87,78,71,391,2141,4225,3483,4225,4225,4225,10,4225,9,20,"924"
3038,3195,2161,2766,4225,4225,4225,2928,4225,640,4225,1745,1922,3389,1727,"925"
3200,2931,3613,2330,3149,1737,525,330,4225,4225,2310,3698,2952,2985,1873,"926"
3616,3663,2483,3908,2284,820,1559,283,626,1270,1746,3773,1806,3679,2754,"927"
1774,2490,3298,1426,774,1044,831,3816,4225,1396,1908,3568,1275,3019,2269,"928"
733,2075,1655,486,317,1120,598,3449,4225,874,2469,2179,2173,1689,2774,"929"
45,130,104,72,266,467,4225,2937,269,4225,243,274,204,383,22,"930"
3782,3055,3216,2884,2051,1572,1325,2275,4225,937,2564,1976,2301,2750,3145,"931"
2257,3055,556,534,1120,406,4225,1755,4225,4225,2240,2200,1594,1354,268,"932"
2542,1588,2483,2498,1356,2141,4225,66,1260,4225,4225,1416,4225,978,4225,"933"
1412,1337,1158,2549,3231,326,4225,299,796,4225,790,4178,1372,1501,2137,"934"
3913,2594,3072,2814,4225,4225,4225,1918,4225,4225,4225,2287,1372,3145,4225,"935"
3782,2157,4017,2367,2896,3323,831,3532,4225,1501,4225,2684,4225,1974,3224,"936"
1397,1454,1608,2283,1908,3169,4225,1468,4225,4225,350,993,584,903,442,"937"
172,4225,194,77,4225,4225,4225,3496,96,4225,4225,241,4225,675,320,"938"
545,4225,301,148,4225,4225,4225,3459,115,4225,4225,3003,4225,4225,4225,"939"
3200,1740,1097,1237,978,686,1413,1262,4225,1270,2564,844,1275,3257,2089,"940"
2751,2075,2618,3460,1070,4225,4225,666,862,4225,440,3568,526,3145,4225,"941"
1632,1812,471,662,1013,406,1413,2166,4225,937,2469,3109,800,2062,1579,"942"
1524,1675,3819,2701,2979,2141,4225,1730,4225,4225,1908,2159,1806,2774,1799,"943"
462,709,2402,744,317,1338,4225,3867,4225,4225,4225,1273,4225,1433,4225,"944"
407,188,4225,2411,455,3169,4225,4005,4225,4225,1139,2944,4225,1777,141,"945"
708,3195,1565,923,473,362,889,4129,4225,549,681,3313,1806,1689,2361,"946"
644,709,864,1727,915,3017,4225,1236,418,4225,4225,1555,653,3481,200,"947"
3821,3663,4225,3607,3310,1120,801,335,4225,874,1746,1714,4225,1974,2667,"948"
3616,2705,3400,778,2724,3169,4225,3956,4225,355,999,3549,1058,4225,4225,"949"
735,446,3927,3196,1356,3454,4225,2217,4225,4225,790,2972,1806,2689,371,"950"
3681,2594,3927,3964,2374,1737,4225,3083,4225,4225,4225,1608,4225,978,4225,"951"
2515,2594,2855,2229,3149,2620,4225,1288,4225,4225,1067,2475,1171,3663,1163,"952"
77,32,853,264,4225,4225,4225,2867,4225,10,4225,100,53,211,1365,"953"
429,4225,1108,527,4225,4225,4225,3644,4225,4225,4225,437,4225,2431,413,"954"
2787,1588,4109,2411,2724,2391,4225,3948,4225,4225,1828,3053,2301,2774,4225,"955"
1293,956,4225,3331,1514,2141,4225,4057,4225,4225,4225,826,4225,4225,764,"956"
1021,3546,54,290,1836,133,92,1642,221,4225,1219,956,2952,263,695,"957"
3672,3430,1554,1317,3310,1338,4225,2549,4225,4225,2564,1493,4225,2211,1799,"958"
475,533,158,88,317,614,860,2285,952,1340,306,787,231,621,3145,"959"
2279,919,3298,2884,1120,3454,4225,1790,4225,4225,4225,1587,4225,1104,4225,"960"
2869,2834,1888,2111,1013,728,1091,3756,4225,1099,1908,4123,1471,3047,3145,"961"
1943,1037,1290,1479,745,2391,1043,339,1099,1209,576,3400,2820,2689,1727,"962"
1624,1392,1227,662,1070,1407,964,2784,237,937,1579,3717,4225,3481,2468,"963"
780,709,506,1793,309,1642,4225,1237,860,4225,4225,203,71,95,147,"964"
129,4225,2018,1175,4225,4225,4225,3892,4225,4225,4225,77,59,2689,4225,"965"
3930,4225,280,3734,4225,4225,4225,1598,1053,4225,4225,2121,4225,4225,4225,"966"
3355,2594,3037,4147,2051,2033,4225,594,4225,4225,1746,2375,1058,1354,1727,"967"
250,399,349,516,1162,820,4225,1170,599,4225,681,1461,721,1010,122,"968"
433,231,332,329,4225,4225,4225,2520,283,113,4225,458,32,785,299,"969"
552,777,506,279,143,181,238,3216,4225,1501,537,1016,308,3270,427,"970"
846,883,975,678,419,686,1043,1763,939,1153,4225,1133,434,618,2771,"971"
2965,2594,2949,3637,2638,1481,1367,3695,4225,4225,2469,1576,1594,3791,4225,"972"
2673,3317,1019,2111,1764,362,1504,2643,638,4225,856,157,2820,3047,2957,"973"
4051,3055,3129,4180,2374,3169,4225,2497,4225,4225,733,1351,800,1010,4225,"974"
524,533,2545,2070,651,2033,4225,3813,4225,4225,1579,3848,2173,1777,4225,"975"
3173,3663,2794,2855,3398,3017,4225,1644,4225,822,790,3109,4225,2027,1961,"976"
3793,2490,2391,3298,4225,4225,4225,1365,4225,1611,4225,3340,1275,2713,1961,"977"
3726,2594,2949,3410,2471,2141,4225,3780,4225,4225,4225,437,4225,4225,4225,"978"
640,1165,2076,744,4225,4225,4225,3263,4225,4225,4225,315,4225,4225,4225,"979"
739,709,2056,3879,689,988,4225,1593,4225,4225,4225,2121,4225,292,4225,"980"
608,587,371,760,4225,4225,4225,2681,8,515,4225,346,115,152,413,"981"
485,676,535,240,173,774,404,2395,4225,1209,1665,1277,584,2910,1373,"982"
1269,4225,1324,3251,4225,4225,4225,3146,243,4225,4225,188,93,3791,4225,"983"
1100,1979,2855,2583,1514,3323,4225,634,4225,4225,576,3081,962,1170,4225,"984"
220,63,208,124,75,80,153,1838,233,33,306,937,357,544,970,"985"
211,166,1832,1013,4225,4225,4225,3127,4225,53,4225,1493,874,3341,3052,"986"
2132,1884,2018,2037,1356,1481,4225,2562,4225,4225,4225,1448,4225,1433,4225,"987"
185,4225,134,50,4225,4225,4225,3038,4225,4225,4225,4056,4225,4225,4225,"988"
197,67,219,73,4225,4225,4225,1104,970,143,4225,570,1171,978,268,"989"
3368,2395,3400,2934,3057,3454,4225,3116,4225,4225,4225,1814,4225,978,966,"990"
4144,3317,1888,2884,2201,2391,4225,3423,4225,4225,4225,3303,4225,1433,1640,"991"
3140,2705,1753,2330,3398,1338,297,3152,4225,4225,2153,2200,2419,2985,1163,"992"
2194,3430,2,36,1356,19,27,481,733,13,1579,45,2820,330,371,"993"
1378,2395,3216,2800,1699,1407,1325,2216,4225,4225,2469,3454,2820,2526,1727,"994"
3652,3317,2794,1658,4225,4225,4225,4079,4225,515,4225,3655,2173,3238,2050,"995"
40,4225,195,78,4225,4225,4225,2572,69,4225,4225,254,4225,143,39,"996"
86,52,82,121,4225,4225,4225,2229,693,46,4225,76,4,51,1059,"997"
4051,4225,86,2976,2638,923,4225,161,817,456,68,379,254,157,1436,"998"
1495,3195,3819,2229,885,1267,831,2611,4225,1209,1828,2327,1922,1816,1232,"999"
2058,3816,2402,2290,2471,1338,579,3036,4225,246,2469,3637,2666,3663,2137,"1000"
3956,3663,3216,3124,4225,2501,726,3082,4225,4225,1511,3549,1702,2431,4225,"1001"
2229,1812,2250,1401,816,1926,4225,924,4225,4225,4225,4016,4225,531,764,"1002"
495,514,124,516,1070,294,4225,1684,4225,4225,1291,593,1171,302,97,"1003"
2970,2266,2202,1680,3398,1481,297,950,1036,4225,1985,931,962,3791,1163,"1004"
1860,1392,1436,3169,1633,2620,4225,85,863,4225,4225,515,4225,423,1014,"1005"
901,1517,3724,2037,1198,3017,4225,2366,4225,4225,4225,2150,874,1777,4225,"1006"
2645,2075,3400,2701,1070,1572,726,2482,4225,1153,2564,3675,2952,3550,2588,"1007"
